1;505;9.900000;779;small
2;5092;9.900000;728;small
3;4256;9.900000;1011;small
4;2421;9.900000;620;small
5;2181;9.900000;1213;small
6;315;9.900000;302;small
7;3166;9.900000;1004;small
8;1891;9.900000;1353;small
9;1168;9.900000;934;small
10;2517;9.900000;227;small
11;4949;9.900000;924;small
12;3225;9.900000;723;small
13;1451;9.900000;522;small
14;5128;9.900000;1013;small
15;1931;9.900000;1187;small
16;1867;9.900000;609;small
17;2560;9.900000;1335;small
18;3212;9.900000;1432;small
19;2835;9.900000;876;small
20;1611;9.900000;191;small
21;5256;9.900000;279;small
22;605;9.900000;1196;small
23;4376;9.900000;942;small
24;1701;9.900000;1468;small
25;690;9.900000;1263;small
26;4667;9.900000;1311;small
27;1085;9.900000;1351;small
28;1722;9.900000;585;small
29;2190;9.900000;339;small
30;1030;9.900000;351;small
31;4384;9.900000;810;small
32;2445;9.900000;1421;small
33;2403;9.900000;1609;small
34;3059;9.900000;835;small
35;1323;9.900000;350;small
36;4426;9.900000;660;small
37;4546;9.900000;513;small
38;2661;9.900000;1689;small
39;506;9.900000;297;small
40;1863;9.900000;1654;small
41;2259;9.900000;246;small
42;4210;9.900000;1466;small
43;3170;9.900000;1550;small
44;4825;9.900000;167;small
45;598;9.900000;285;small
46;2763;9.900000;1653;small
47;4734;9.900000;294;small
48;3515;9.900000;1594;small
49;2797;9.900000;149;small
50;4612;9.900000;1528;small
51;4355;9.900000;1859;small
52;3077;9.900000;97;small
53;5141;9.900000;256;small
54;1745;9.900000;1866;small
55;4651;9.900000;1816;small
56;2465;9.900000;1797;small
57;2740;9.900000;1829;small
58;4126;9.900000;1765;small
59;4381;9.900000;1764;small
60;1551;9.900000;1530;small
61;1867;9.900000;1840;small
62;4777;9.900000;1721;small
63;4925;9.900000;1657;small
64;4778;9.900000;1567;small
65;3073;9.900000;1768;small
66;2619;9.900000;1839;small
67;2367;9.900000;1921;small
68;3379;9.900000;1935;small
69;2079;9.900000;1890;small
70;3903;9.900000;1666;small
71;1061;9.900000;175;small
72;2340;9.900000;174;small
73;1388;9.900000;1494;small
74;2802;9.900000;80;small
75;3168;9.900000;61;small
76;3767;9.900000;1563;small
77;2632;9.900000;125;small
78;4603;9.900000;1701;small
79;1840;9.900000;1686;small
80;3373;9.900000;1722;small
81;1720;9.900000;1708;small
82;2007;9.900000;1669;small
83;1338;9.900000;1533;small
84;2735;9.900000;1736;small
85;407;9.900000;229;small
86;5538;9.900000;562;small
87;1481;9.900000;190;small
88;3838;9.900000;466;small
89;3349;9.900000;346;small
90;1000;9.900000;1801;small
91;5367;9.900000;1890;small
92;376;9.900000;1054;small
93;1654;9.900000;1930;small
94;2571;9.900000;1083;small
95;4812;9.900000;1631;small
96;33;9.900000;953;small
97;3625;9.900000;1130;small
